Freq.	I(L1)/v(n001)
1.00000000000000e+001	(-1.17187949016380e+002dB,8.99999840808000e+001°)
1.01157945425990e+001	(-1.17087949016380e+002dB,8.99999838964644e+001°)
1.02329299228075e+001	(-1.16987949016380e+002dB,8.99999837099942e+001°)
1.03514216667934e+001	(-1.16887949016379e+002dB,8.99999835213648e+001°)
1.04712854805090e+001	(-1.16787949016379e+002dB,8.99999833305512e+001°)
1.05925372517729e+001	(-1.16687949016379e+002dB,8.99999831375281e+001°)
1.07151930523761e+001	(-1.16587949016378e+002dB,8.99999829422699e+001°)
1.08392691402120e+001	(-1.16487949016378e+002dB,8.99999827447507e+001°)
1.09647819614319e+001	(-1.16387949016378e+002dB,8.99999825449443e+001°)
1.10917481526240e+001	(-1.16287949016377e+002dB,8.99999823428243e+001°)
1.12201845430196e+001	(-1.16187949016377e+002dB,8.99999821383638e+001°)
1.13501081567232e+001	(-1.16087949016377e+002dB,8.99999819315358e+001°)
1.14815362149688e+001	(-1.15987949016376e+002dB,8.99999817223129e+001°)
1.16144861384034e+001	(-1.15887949016376e+002dB,8.99999815106672e+001°)
1.17489755493953e+001	(-1.15787949016375e+002dB,8.99999812965709e+001°)
1.18850222743702e+001	(-1.15687949016375e+002dB,8.99999810799953e+001°)
1.20226443461741e+001	(-1.15587949016374e+002dB,8.99999808609120e+001°)
1.21618600064637e+001	(-1.15487949016374e+002dB,8.99999806392918e+001°)
1.23026877081238e+001	(-1.15387949016374e+002dB,8.99999804151054e+001°)
1.24451461177139e+001	(-1.15287949016373e+002dB,8.99999801883230e+001°)
1.25892541179417e+001	(-1.15187949016373e+002dB,8.99999799589146e+001°)
1.27350308101666e+001	(-1.15087949016372e+002dB,8.99999797268497e+001°)
1.28824955169314e+001	(-1.14987949016372e+002dB,8.99999794920977e+001°)
1.30316677845230e+001	(-1.14887949016371e+002dB,8.99999792546274e+001°)
1.31825673855641e+001	(-1.14787949016371e+002dB,8.99999790144073e+001°)
1.33352143216333e+001	(-1.14687949016370e+002dB,8.99999787714056e+001°)
1.34896288259166e+001	(-1.14587949016369e+002dB,8.99999785255901e+001°)
1.36458313658893e+001	(-1.14487949016369e+002dB,8.99999782769281e+001°)
1.38038426460289e+001	(-1.14387949016368e+002dB,8.99999780253868e+001°)
1.39636836105594e+001	(-1.14287949016368e+002dB,8.99999777709328e+001°)
