Freq.	I(L1)/v(n001)
1.00000000000000e+001	(-1.17187721750370e+002dB,8.95854955602311e+001°)
1.01157945425990e+001	(-1.17087726923841e+002dB,8.95902398240545e+001°)
1.02329299228075e+001	(-1.16987731979555e+002dB,8.95949297820178e+001°)
1.03514216667934e+001	(-1.16887736920193e+002dB,8.95995660555183e+001°)
1.04712854805090e+001	(-1.16787741748373e+002dB,8.96041492588462e+001°)
1.05925372517729e+001	(-1.16687746466656e+002dB,8.96086799992654e+001°)
1.07151930523761e+001	(-1.16587751077543e+002dB,8.96131588770940e+001°)
1.08392691402120e+001	(-1.16487755583477e+002dB,8.96175864857833e+001°)
1.09647819614319e+001	(-1.16387759986849e+002dB,8.96219634119965e+001°)
1.10917481526240e+001	(-1.16287764289992e+002dB,8.96262902356860e+001°)
1.12201845430196e+001	(-1.16187768495187e+002dB,8.96305675301702e+001°)
1.13501081567232e+001	(-1.16087772604665e+002dB,8.96347958622091e+001°)
1.14815362149688e+001	(-1.15987776620603e+002dB,8.96389757920792e+001°)
1.16144861384034e+001	(-1.15887780545131e+002dB,8.96431078736477e+001°)
1.17489755493953e+001	(-1.15787784380329e+002dB,8.96471926544455e+001°)
1.18850222743702e+001	(-1.15687788128230e+002dB,8.96512306757397e+001°)
1.20226443461741e+001	(-1.15587791790822e+002dB,8.96552224726052e+001°)
1.21618600064637e+001	(-1.15487795370046e+002dB,8.96591685739954e+001°)
1.23026877081238e+001	(-1.15387798867800e+002dB,8.96630695028118e+001°)
1.24451461177139e+001	(-1.15287802285938e+002dB,8.96669257759736e+001°)
1.25892541179417e+001	(-1.15187805626273e+002dB,8.96707379044859e+001°)
1.27350308101666e+001	(-1.15087808890574e+002dB,8.96745063935072e+001°)
1.28824955169314e+001	(-1.14987812080573e+002dB,8.96782317424161e+001°)
1.30316677845230e+001	(-1.14887815197961e+002dB,8.96819144448775e+001°)
1.31825673855641e+001	(-1.14787818244391e+002dB,8.96855549889080e+001°)
1.33352143216333e+001	(-1.14687821221478e+002dB,8.96891538569400e+001°)
1.34896288259166e+001	(-1.14587824130800e+002dB,8.96927115258860e+001°)
1.36458313658893e+001	(-1.14487826973899e+002dB,8.96962284672014e+001°)
1.38038426460289e+001	(-1.14387829752284e+002dB,8.96997051469469e+001°)
1.39636836105594e+001	(-1.14287832467426e+002dB,8.97031420258501e+001°)
1.41253754462276e+001	(-1.14187835120766e+002dB,8.97065395593668e+001°)
1.42889395851111e+001	(-1.14087837713710e+002dB,8.97098981977406e+001°)
1.44543977074593e+001	(-1.13987840247633e+002dB,8.97132183860631e+001°)
1.46217717445672e+001	(-1.13887842723878e+002dB,8.97165005643324e+001°)
1.47910838816821e+001	(-1.13787845143758e+002dB,8.97197451675116e+001°)
1.49623565609444e+001	(-1.13687847508556e+002dB,8.97229526255859e+001°)
1.51356124843621e+001	(-1.13587849819527e+002dB,8.97261233636200e+001°)
1.53108746168203e+001	(-1.13487852077894e+002dB,8.97292578018141e+001°)
1.54881661891249e+001	(-1.13387854284855e+002dB,8.97323563555595e+001°)
1.56675107010815e+001	(-1.13287856441581e+002dB,8.97354194354937e+001°)
1.58489319246112e+001	(-1.13187858549215e+002dB,8.97384474475544e+001°)
1.60324539069005e+001	(-1.13087860608875e+002dB,8.97414407930337e+001°)
1.62181009735893e+001	(-1.12987862621651e+002dB,8.97443998686310e+001°)
1.64058977319954e+001	(-1.12887864588612e+002dB,8.97473250665052e+001°)
1.65958690743757e+001	(-1.12787866510801e+002dB,8.97502167743273e+001°)
1.67880401812257e+001	(-1.12687868389236e+002dB,8.97530753753310e+001°)
1.69824365246175e+001	(-1.12587870224913e+002dB,8.97559012483638e+001°)
1.71790838715759e+001	(-1.12487872018806e+002dB,8.97586947679371e+001°)
1.73780082874938e+001	(-1.12387873771865e+002dB,8.97614563042757e+001°)
1.75792361395870e+001	(-1.12287875485021e+002dB,8.97641862233669e+001°)
1.77827941003893e+001	(-1.12187877159181e+002dB,8.97668848870091e+001°)
1.79887091512879e+001	(-1.12087878795233e+002dB,8.97695526528591e+001°)
1.81970085860999e+001	(-1.11987880394044e+002dB,8.97721898744801e+001°)
1.84077200146896e+001	(-1.11887881956463e+002dB,8.97747969013884e+001°)
1.86208713666287e+001	(-1.11787883483317e+002dB,8.97773740790993e+001°)
1.88364908948981e+001	(-1.11687884975417e+002dB,8.97799217491732e+001°)
1.90546071796325e+001	(-1.11587886433552e+002dB,8.97824402492606e+001°)
1.92752491319094e+001	(-1.11487887858496e+002dB,8.97849299131472e+001°)
1.94984459975805e+001	(-1.11387889251006e+002dB,8.97873910707974e+001°)
1.97242273611486e+001	(-1.11287890611818e+002dB,8.97898240483988e+001°)
1.99526231496889e+001	(-1.11187891941655e+002dB,8.97922291684047e+001°)
2.01836636368157e+001	(-1.11087893241221e+002dB,8.97946067495773e+001°)
2.04173794466954e+001	(-1.10987894511206e+002dB,8.97969571070297e+001°)
2.06538015581054e+001	(-1.10887895752283e+002dB,8.97992805522674e+001°)
2.08929613085405e+001	(-1.10787896965109e+002dB,8.98015773932301e+001°)
2.11348903983666e+001	(-1.10687898150329e+002dB,8.98038479343320e+001°)
2.13796208950224e+001	(-1.10587899308570e+002dB,8.98060924765023e+001°)
2.16271852372703e+001	(-1.10487900440447e+002dB,8.98083113172251e+001°)
2.18776162394956e+001	(-1.10387901546559e+002dB,8.98105047505787e+001°)
2.21309470960565e+001	(-1.10287902627493e+002dB,8.98126730672745e+001°)
2.23872113856835e+001	(-1.10187903683822e+002dB,8.98148165546958e+001°)
2.26464430759307e+001	(-1.10087904716106e+002dB,8.98169354969353e+001°)
2.29086765276778e+001	(-1.09987905724893e+002dB,8.98190301748336e+001°)
2.31739464996849e+001	(-1.09887906710717e+002dB,8.98211008660153e+001°)
2.34422881531993e+001	(-1.09787907674102e+002dB,8.98231478449268e+001°)
2.37137370566167e+001	(-1.09687908615557e+002dB,8.98251713828719e+001°)
2.39883291901950e+001	(-1.09587909535582e+002dB,8.98271717480482e+001°)
2.42661009508243e+001	(-1.09487910434665e+002dB,8.98291492055824e+001°)
2.45470891568504e+001	(-1.09387911313282e+002dB,8.98311040175656e+001°)
2.48313310529558e+001	(-1.09287912171900e+002dB,8.98330364430876e+001°)
2.51188643150959e+001	(-1.09187913010973e+002dB,8.98349467382719e+001°)
2.54097270554932e+001	(-1.09087913830947e+002dB,8.98368351563090e+001°)
2.57039578276888e+001	(-1.08987914632256e+002dB,8.98387019474901e+001°)
2.60015956316529e+001	(-1.08887915415325e+002dB,8.98405473592406e+001°)
2.63026799189540e+001	(-1.08787916180569e+002dB,8.98423716361526e+001°)
2.66072505979882e+001	(-1.08687916928394e+002dB,8.98441750200170e+001°)
2.69153480392693e+001	(-1.08587917659196e+002dB,8.98459577498563e+001°)
2.72270130807793e+001	(-1.08487918373364e+002dB,8.98477200619554e+001°)
2.75422870333818e+001	(-1.08387919071275e+002dB,8.98494621898936e+001°)
2.78612116862979e+001	(-1.08287919753299e+002dB,8.98511843645751e+001°)
2.81838293126447e+001	(-1.08187920419799e+002dB,8.98528868142600e+001°)
2.85101826750393e+001	(-1.08087921071127e+002dB,8.98545697645939e+001°)
2.88403150312662e+001	(-1.07987921707630e+002dB,8.98562334386386e+001°)
2.91742701400118e+001	(-1.07887922329644e+002dB,8.98578780569009e+001°)
2.95120922666640e+001	(-1.07787922937499e+002dB,8.98595038373624e+001°)
2.98538261891798e+001	(-1.07687923531517e+002dB,8.98611109955081e+001°)
3.01995172040203e+001	(-1.07587924112014e+002dB,8.98626997443549e+001°)
3.05492111321553e+001	(-1.07487924679297e+002dB,8.98642702944799e+001°)
3.09029543251361e+001	(-1.07387925233667e+002dB,8.98658228540485e+001°)
3.12607936712397e+001	(-1.07287925775418e+002dB,8.98673576288415e+001°)
3.16227766016840e+001	(-1.07187926304838e+002dB,8.98688748222829e+001°)
3.19889510969142e+001	(-1.07087926822206e+002dB,8.98703746354666e+001°)
3.23593656929630e+001	(-1.06987927327797e+002dB,8.98718572671828e+001°)
3.27340694878840e+001	(-1.06887927821880e+002dB,8.98733229139449e+001°)
3.31131121482593e+001	(-1.06787928304715e+002dB,8.98747717700151e+001°)
3.34965439157830e+001	(-1.06687928776560e+002dB,8.98762040274303e+001°)
3.38844156139205e+001	(-1.06587929237665e+002dB,8.98776198760274e+001°)
3.42767786546453e+001	(-1.06487929688273e+002dB,8.98790195034687e+001°)
3.46736850452534e+001	(-1.06387930128624e+002dB,8.98804030952667e+001°)
3.50751873952570e+001	(-1.06287930558951e+002dB,8.98817708348084e+001°)
3.54813389233578e+001	(-1.06187930979483e+002dB,8.98831229033801e+001°)
3.58921934645008e+001	(-1.06087931390442e+002dB,8.98844594801909e+001°)
3.63078054770104e+001	(-1.05987931792046e+002dB,8.98857807423968e+001°)
3.67282300498087e+001	(-1.05887932184509e+002dB,8.98870868651240e+001°)
3.71535229097175e+001	(-1.05787932568038e+002dB,8.98883780214922e+001°)
3.75837404288447e+001	(-1.05687932942837e+002dB,8.98896543826377e+001°)
3.80189396320564e+001	(-1.05587933309103e+002dB,8.98909161177355e+001°)
3.84591782045356e+001	(-1.05487933667033e+002dB,8.98921633940224e+001°)
3.89045144994284e+001	(-1.05387934016815e+002dB,8.98933963768188e+001°)
3.93550075455780e+001	(-1.05287934358635e+002dB,8.98946152295507e+001°)
3.98107170553500e+001	(-1.05187934692673e+002dB,8.98958201137712e+001°)
4.02717034325462e+001	(-1.05087935019108e+002dB,8.98970111891821e+001°)
4.07380277804116e+001	(-1.04987935338112e+002dB,8.98981886136551e+001°)
4.12097519097333e+001	(-1.04887935649855e+002dB,8.98993525432526e+001°)
4.16869383470339e+001	(-1.04787935954501e+002dB,8.99005031322483e+001°)
4.21696503428586e+001	(-1.04687936252212e+002dB,8.99016405331477e+001°)
4.26579518801596e+001	(-1.04587936543147e+002dB,8.99027648967087e+001°)
4.31519076827769e+001	(-1.04487936827458e+002dB,8.99038763719608e+001°)
4.36515832240170e+001	(-1.04387937105298e+002dB,8.99049751062256e+001°)
4.41570447353316e+001	(-1.04287937376813e+002dB,8.99060612451358e+001°)
4.46683592150967e+001	(-1.04187937642147e+002dB,8.99071349326548e+001°)
