Freq.	V(n002)/I(V2)
1.00000000000000e+001	(-1.95913484741792e+001dB,1.74403373245337e+001°)
1.01157945425990e+001	(-1.95822707326303e+001dB,1.76298433906420e+001°)
1.02329299228075e+001	(-1.95730011443688e+001dB,1.78211393296029e+001°)
1.03514216667934e+001	(-1.95635360770383e+001dB,1.80142334358511e+001°)
1.04712854805090e+001	(-1.95538718474391e+001dB,1.82091337565120e+001°)
1.05925372517729e+001	(-1.95440047215846e+001dB,1.84058480811046e+001°)
1.07151930523761e+001	(-1.95339309147950e+001dB,1.86043839310725e+001°)
1.08392691402120e+001	(-1.95236465918334e+001dB,1.88047485491486e+001°)
1.09647819614319e+001	(-1.95131478670824e+001dB,1.90069488885579e+001°)
1.10917481526240e+001	(-1.95024308047658e+001dB,1.92109916020620e+001°)
1.12201845430196e+001	(-1.94914914192147e+001dB,1.94168830308534e+001°)
1.13501081567232e+001	(-1.94803256751813e+001dB,1.96246291933036e+001°)
1.14815362149688e+001	(-1.94689294882012e+001dB,1.98342357735727e+001°)
1.16144861384034e+001	(-1.94572987250051e+001dB,2.00457081100879e+001°)
1.17489755493953e+001	(-1.94454292039837e+001dB,2.02590511838981e+001°)
1.18850222743702e+001	(-1.94333166957051e+001dB,2.04742696069127e+001°)
1.20226443461741e+001	(-1.94209569234875e+001dB,2.06913676100348e+001°)
1.21618600064637e+001	(-1.94083455640289e+001dB,2.09103490311966e+001°)
1.23026877081238e+001	(-1.93954782480940e+001dB,2.11312173033090e+001°)
1.24451461177139e+001	(-1.93823505612627e+001dB,2.13539754421341e+001°)
1.25892541179417e+001	(-1.93689580447376e+001dB,2.15786260340942e+001°)
1.27350308101666e+001	(-1.93552961962164e+001dB,2.18051712240275e+001°)
1.28824955169314e+001	(-1.93413604708271e+001dB,2.20336127029038e+001°)
1.30316677845230e+001	(-1.93271462821295e+001dB,2.22639516955142e+001°)
1.31825673855641e+001	(-1.93126490031835e+001dB,2.24961889481476e+001°)
1.33352143216333e+001	(-1.92978639676859e+001dB,2.27303247162698e+001°)
1.34896288259166e+001	(-1.92827864711766e+001dB,2.29663587522190e+001°)
1.36458313658893e+001	(-1.92674117723155e+001dB,2.32042902929358e+001°)
1.38038426460289e+001	(-1.92517350942315e+001dB,2.34441180477421e+001°)
1.39636836105594e+001	(-1.92357516259445e+001dB,2.36858401861875e+001°)
1.41253754462276e+001	(-1.92194565238605e+001dB,2.39294543259809e+001°)
