Freq.	V(vo)
Step Information: Run=1  (Run: 1/30)
1.00000000000000e+000	(-4.33044145852715e-005dB,-1.07250416255357e-003°)
1.02329299228075e+000	(-4.33043144750451e-005dB,-1.09748599374180e-003°)
1.04712854805090e+000	(-4.33042096280186e-005dB,-1.12304972653968e-003°)
1.07151930523761e+000	(-4.33040998455394e-005dB,-1.14920891517351e-003°)
1.09647819614318e+000	(-4.33039848730240e-005dB,-1.17597742957564e-003°)
1.12201845430196e+000	(-4.33038644954262e-005dB,-1.20336946279332e-003°)
1.14815362149688e+000	(-4.33037384417687e-005dB,-1.23139953841804e-003°)
1.17489755493953e+000	(-4.33036064449313e-005dB,-1.26008251838508e-003°)
1.20226443461741e+000	(-4.33034682291151e-005dB,-1.28943361078487e-003°)
1.23026877081238e+000	(-4.33033235214141e-005dB,-1.31946837795045e-003°)
1.25892541179417e+000	(-4.33031719659895e-005dB,-1.35020274472431e-003°)
1.28824955169313e+000	(-4.33030132889711e-005dB,-1.38165300686439e-003°)
1.31825673855641e+000	(-4.33028471268056e-005dB,-1.41383583971970e-003°)
1.34896288259165e+000	(-4.33026731352264e-005dB,-1.44676830705704e-003°)
1.38038426460288e+000	(-4.33024909439299e-005dB,-1.48046787010174e-003°)
1.41253754462275e+000	(-4.33023001469321e-005dB,-1.51495239681318e-003°)
1.44543977074593e+000	(-4.33021003922518e-005dB,-1.55024017134342e-003°)
1.47910838816821e+000	(-4.33018911736147e-005dB,-1.58634990373370e-003°)
1.51356124843621e+000	(-4.33016721496469e-005dB,-1.62330073984328e-003°)
1.54881661891248e+000	(-4.33014427658576e-005dB,-1.66111227149983e-003°)
1.58489319246111e+000	(-4.33012025767251e-005dB,-1.69980454687436e-003°)
1.62181009735893e+000	(-4.33009510779037e-005dB,-1.73939808112553e-003°)
1.65958690743756e+000	(-4.33006877052591e-005dB,-1.77991386726713e-003°)
1.69824365246174e+000	(-4.33004119602313e-005dB,-1.82137338730944e-003°)
1.73780082874937e+000	(-4.33001232314339e-005dB,-1.86379862363498e-003°)
1.77827941003892e+000	(-4.32998208361195e-005dB,-1.90721207067025e-003°)
1.81970085860998e+000	(-4.32995042091893e-005dB,-1.95163674679479e-003°)
1.86208713666287e+000	(-4.32991726717536e-005dB,-1.99709620656875e-003°)
1.90546071796325e+000	(-4.32988255073134e-005dB,-2.04361455319057e-003°)
1.94984459975804e+000	(-4.32984619675469e-005dB,-2.09121645130834e-003°)
1.99526231496888e+000	(-4.32980812713449e-005dB,-2.13992714008054e-003°)
2.04173794466953e+000	(-4.32976826838863e-005dB,-2.18977244655766e-003°)
2.08929613085404e+000	(-4.32972653054490e-005dB,-2.24077879938549e-003°)
2.13796208950223e+000	(-4.32968282527046e-005dB,-2.29297324280229e-003°)
2.18776162394955e+000	(-4.32963705863936e-005dB,-2.34638345099697e-003°)
2.23872113856834e+000	(-4.32958913653277e-005dB,-2.40103774277062e-003°)
2.29086765276777e+000	(-4.32953895557426e-005dB,-2.45696509655228e-003°)
2.34422881531992e+000	(-4.32948640949442e-005dB,-2.51419516576420e-003°)
2.39883291901949e+000	(-4.32943138681644e-005dB,-2.57275829455315e-003°)
2.45470891568503e+000	(-4.32937376883102e-005dB,-2.63268553385845e-003°)
2.51188643150958e+000	(-4.32931343663599e-005dB,-2.69400865790495e-003°)
2.57039578276886e+000	(-4.32925026390381e-005dB,-2.75676018102324e-003°)
2.63026799189538e+000	(-4.32918411032415e-005dB,-2.82097337489976e-003°)
2.69153480392691e+000	(-4.32911484156553e-005dB,-2.88668228622746e-003°)
2.75422870333816e+000	(-4.32904230892789e-005dB,-2.95392175473766e-003°)
2.81838293126445e+000	(-4.32896635618943e-005dB,-3.02272743169062e-003°)
2.88403150312660e+000	(-4.32888682462104e-005dB,-3.09313579876802e-003°)
2.95120922666638e+000	(-4.32880354440382e-005dB,-3.16518418742061e-003°)
3.01995172040201e+000	(-4.32871633829349e-005dB,-3.23891079866147e-003°)
3.09029543251359e+000	(-4.32862502219902e-005dB,-3.31435472331865e-003°)
3.16227766016837e+000	(-4.32852940450760e-005dB,-3.39155596275980e-003°)
3.23593656929628e+000	(-4.32842928087721e-005dB,-3.47055545010597e-003°)
3.31131121482591e+000	(-4.32832443626177e-005dB,-3.55139507193924e-003°)
3.38844156139202e+000	(-4.32821465088994e-005dB,-3.63411769049618e-003°)
3.46736850452531e+000	(-4.32809969476849e-005dB,-3.71876716640608e-003°)
3.54813389233575e+000	(-4.32797931601382e-005dB,-3.80538838195072e-003°)
3.63078054770101e+000	(-4.32785326727471e-005dB,-3.89402726484438e-003°)
3.71535229097172e+000	(-4.32772127815239e-005dB,-3.98473081260328e-003°)
3.80189396320560e+000	(-4.32758306532605e-005dB,-4.07754711745262e-003°)
3.89045144994280e+000	(-4.32743834229257e-005dB,-4.17252539183106e-003°)
3.98107170553496e+000	(-4.32728679487250e-005dB,-4.26971599448038e-003°)
4.07380277804112e+000	(-4.32712810811493e-005dB,-4.36917045715420e-003°)
4.16869383470335e+000	(-4.32696194228559e-005dB,-4.47094151192677e-003°)
4.26579518801592e+000	(-4.32678794627112e-005dB,-4.57508311916908e-003°)
4.36515832240165e+000	(-4.32660574687493e-005dB,-4.68165049614324e-003°)
4.46683592150962e+000	(-4.32641496492157e-005dB,-4.79070014629370e-003°)
4.57088189614874e+000	(-4.32621518844831e-005dB,-4.90228988919420e-003°)
4.67735141287197e+000	(-4.32600599681342e-005dB,-5.01647889121185e-003°)
4.78630092322637e+000	(-4.32578694912418e-005dB,-5.13332769687983e-003°)
4.89778819368445e+000	(-4.32555757584724e-005dB,-5.25289826098707e-003°)
5.01187233627271e+000	(-4.32531739308065e-005dB,-5.37525398144173e-003°)
5.12861383991364e+000	(-4.32506588914973e-005dB,-5.50045973287888e-003°)
5.24807460249771e+000	(-4.32480253415392e-005dB,-5.62858190105611e-003°)
5.37031796370252e+000	(-4.32452677003412e-005dB,-5.75968841805640e-003°)
5.49540873857623e+000	(-4.32423800411175e-005dB,-5.89384879830435e-003°)
5.62341325190348e+000	(-4.32393563367916e-005dB,-6.03113417542545e-003°)
5.75439937337156e+000	(-4.32361900993360e-005dB,-6.17161733995730e-003°)
5.88843655355588e+000	(-4.32328746661793e-005dB,-6.31537277795362e-003°)
6.02559586074356e+000	(-4.32294029600871e-005dB,-6.46247671046735e-003°)
6.16595001861481e+000	(-4.32257676588848e-005dB,-6.61300713397020e-003°)
6.30957344480192e+000	(-4.32219610016265e-005dB,-6.76704386170758e-003°)
6.45654229034654e+000	(-4.32179749612107e-005dB,-6.92466856601242e-003°)
6.60693448007594e+000	(-4.32138010534423e-005dB,-7.08596482161471e-003°)
6.76082975391980e+000	(-4.32094304228584e-005dB,-7.25101814995093e-003°)
6.91830970918935e+000	(-4.32048538407995e-005dB,-7.41991606450686e-003°)
7.07945784384136e+000	(-4.32000615723319e-005dB,-7.59274811722518e-003°)
7.24435960074988e+000	(-4.31950434553225e-005dB,-7.76960594597757e-003°)
7.41310241300916e+000	(-4.31897888242568e-005dB,-7.95058332315983e-003°)
7.58577575029182e+000	(-4.31842865314543e-005dB,-8.13577620541159e-003°)
7.76247116628690e+000	(-4.31785249615335e-005dB,-8.32528278448966e-003°)
7.94328234724279e+000	(-4.31724918096152e-005dB,-8.51920353933170e-003°)
8.12830516164097e+000	(-4.31661743590505e-005dB,-8.71764128933485e-003°)
