x-axis,1,2,MATH
second,Volt,Volt,Volt
+24.5000E-06,+3.2031250000E+00,+5.1015625000E+00,+1.8997575337E+00
+24.6000E-06,+3.2148437500E+00,+5.1054687500E+00,+1.8903825335E+00
+24.7000E-06,+3.2421875000E+00,+5.1132812500E+00,+1.8724137833E+00
+24.8000E-06,+3.2382812500E+00,+5.1054687500E+00,+1.8681169082E+00
+24.9000E-06,+3.2343750000E+00,+5.1015625000E+00,+1.8673356582E+00
+25.0000E-06,+3.2500000000E+00,+5.1093750000E+00,+1.8556169080E+00
+25.1000E-06,+3.2851562500E+00,+5.1210937500E+00,+1.8368669077E+00
+25.2000E-06,+3.2968750000E+00,+5.1210937500E+00,+1.8235856575E+00
+25.3000E-06,+3.2773437500E+00,+5.1054687500E+00,+1.8310075327E+00
+25.4000E-06,+3.2851562500E+00,+5.1093750000E+00,+1.8224137825E+00
+25.5000E-06,+3.3125000000E+00,+5.1171875000E+00,+1.8056169073E+00
+25.6000E-06,+3.3164062500E+00,+5.1132812500E+00,+1.7985856572E+00
+25.7000E-06,+3.3242187500E+00,+5.1171875000E+00,+1.7907731571E+00
+25.8000E-06,+3.3476562500E+00,+5.1250000000E+00,+1.7794450319E+00
+25.9000E-06,+3.3632812500E+00,+5.1289062500E+00,+1.7677262817E+00
+26.0000E-06,+3.3476562500E+00,+5.1132812500E+00,+1.7661637817E+00
+26.1000E-06,+3.3164062500E+00,+5.1015625000E+00,+1.7813981569E+00
+26.2000E-06,+3.3789062500E+00,+5.1328125000E+00,+1.7528825315E+00
+26.3000E-06,+3.4101562500E+00,+5.1367187500E+00,+1.7282731561E+00
+26.4000E-06,+3.3828125000E+00,+5.1210937500E+00,+1.7388200313E+00
+26.5000E-06,+3.3710937500E+00,+5.1132812500E+00,+1.7435075314E+00
+26.6000E-06,+3.3789062500E+00,+5.1132812500E+00,+1.7345231562E+00
+26.7000E-06,+3.4296875000E+00,+5.1367187500E+00,+1.7079606558E+00
+26.8000E-06,+3.4375000000E+00,+5.1328125000E+00,+1.6954606556E+00
+26.9000E-06,+3.4062500000E+00,+5.1210937500E+00,+1.7138200309E+00
+27.0000E-06,+3.4101562500E+00,+5.1210937500E+00,+1.7099137809E+00
+27.1000E-06,+3.4570312500E+00,+5.1406250000E+00,+1.6856950305E+00
+27.2000E-06,+3.4531250000E+00,+5.1328125000E+00,+1.6798356554E+00
+27.3000E-06,+3.4179687500E+00,+5.1132812500E+00,+1.6958512806E+00
+27.4000E-06,+3.4453125000E+00,+5.1328125000E+00,+1.6856950305E+00
+27.5000E-06,+3.4804687500E+00,+5.1406250000E+00,+1.6579606551E+00
+27.6000E-06,+3.4921875000E+00,+5.1445312500E+00,+1.6532731550E+00
+27.7000E-06,+3.4921875000E+00,+5.1445312500E+00,+1.6497575300E+00
+27.8000E-06,+3.4531250000E+00,+5.1132812500E+00,+1.6610856551E+00
+27.9000E-06,+3.4687500000E+00,+5.1289062500E+00,+1.6603044051E+00
+28.0000E-06,+3.5156250000E+00,+5.1445312500E+00,+1.6290544046E+00
+28.1000E-06,+3.5195312500E+00,+5.1445312500E+00,+1.6228044046E+00
+28.2000E-06,+3.5078125000E+00,+5.1367187500E+00,+1.6282731546E+00
+28.3000E-06,+3.5195312500E+00,+5.1445312500E+00,+1.6220231545E+00
+28.4000E-06,+3.5351562500E+00,+5.1484375000E+00,+1.6118669044E+00
+28.5000E-06,+3.5195312500E+00,+5.1289062500E+00,+1.6110856544E+00
+28.6000E-06,+3.5273437500E+00,+5.1367187500E+00,+1.6091325294E+00
+28.7000E-06,+3.5585937500E+00,+5.1523437500E+00,+1.5919450291E+00
+28.8000E-06,+3.5664062500E+00,+5.1484375000E+00,+1.5821794040E+00
+28.9000E-06,+3.5625000000E+00,+5.1445312500E+00,+1.5810075289E+00
+29.0000E-06,+3.5546875000E+00,+5.1367187500E+00,+1.5817887789E+00
+29.1000E-06,+3.5781250000E+00,+5.1484375000E+00,+1.5712419038E+00
+29.2000E-06,+3.5937500000E+00,+5.1523437500E+00,+1.5599137786E+00
+29.3000E-06,+3.5820312500E+00,+5.1406250000E+00,+1.5603044036E+00
+29.4000E-06,+3.5859375000E+00,+5.1445312500E+00,+1.5587419036E+00
+29.5000E-06,+3.6132812500E+00,+5.1562500000E+00,+1.5450700284E+00
+29.6000E-06,+3.6132812500E+00,+5.1484375000E+00,+1.5376481533E+00
+29.7000E-06,+3.6054687500E+00,+5.1445312500E+00,+1.5384294033E+00
+29.8000E-06,+3.6132812500E+00,+5.1484375000E+00,+1.5325700282E+00
+29.9000E-06,+3.6289062500E+00,+5.1484375000E+00,+1.5208512780E+00
+30.0000E-06,+3.6367187500E+00,+5.1523437500E+00,+1.5188981530E+00
+30.1000E-06,+3.6367187500E+00,+5.1523437500E+00,+1.5161637780E+00
+30.2000E-06,+3.6484375000E+00,+5.1562500000E+00,+1.5056169028E+00
+30.3000E-06,+3.6523437500E+00,+5.1523437500E+00,+1.5005387777E+00
+30.4000E-06,+3.6484375000E+00,+5.1484375000E+00,+1.4993669027E+00
+30.5000E-06,+3.6601562500E+00,+5.1562500000E+00,+1.4946794026E+00
+30.6000E-06,+3.6757812500E+00,+5.1601562500E+00,+1.4849137775E+00
+30.7000E-06,+3.6796875000E+00,+5.1562500000E+00,+1.4790544024E+00
+30.8000E-06,+3.6796875000E+00,+5.1562500000E+00,+1.4774919024E+00
