x-axis,1,2,MATH
second,Volt,Volt,Volt
+24.5000E-06,+3.2187500000E+00,+5.1054687500E+00,+1.8888200335E+00
+24.6000E-06,+3.2148437500E+00,+5.1015625000E+00,+1.8868669085E+00
+24.7000E-06,+3.2265625000E+00,+5.1054687500E+00,+1.8798356584E+00
+24.8000E-06,+3.2500000000E+00,+5.1093750000E+00,+1.8610856581E+00
+24.9000E-06,+3.2578125000E+00,+5.1093750000E+00,+1.8528825330E+00
+25.0000E-06,+3.2617187500E+00,+5.1093750000E+00,+1.8474137829E+00
+25.1000E-06,+3.2382812500E+00,+5.0898437500E+00,+1.8528825330E+00
+25.2000E-06,+3.2695312500E+00,+5.1093750000E+00,+1.8399919078E+00
+25.3000E-06,+3.3242187500E+00,+5.1289062500E+00,+1.8044450323E+00
+25.4000E-06,+3.3164062500E+00,+5.1171875000E+00,+1.8017106572E+00
+25.5000E-06,+3.2929687500E+00,+5.1054687500E+00,+1.8122575324E+00
+25.6000E-06,+3.2929687500E+00,+5.1015625000E+00,+1.8087419073E+00
+25.7000E-06,+3.3359375000E+00,+5.1210937500E+00,+1.7853044070E+00
+25.8000E-06,+3.3515625000E+00,+5.1210937500E+00,+1.7724137818E+00
+25.9000E-06,+3.3359375000E+00,+5.1132812500E+00,+1.7755387818E+00
+26.0000E-06,+3.3476562500E+00,+5.1171875000E+00,+1.7673356567E+00
+26.1000E-06,+3.3593750000E+00,+5.1171875000E+00,+1.7563981565E+00
+26.2000E-06,+3.3984375000E+00,+5.1367187500E+00,+1.7364762813E+00
+26.3000E-06,+3.3750000000E+00,+5.1171875000E+00,+1.7392106563E+00
+26.4000E-06,+3.3437500000E+00,+5.0976562500E+00,+1.7560075315E+00
+26.5000E-06,+3.3867187500E+00,+5.1250000000E+00,+1.7349137812E+00
+26.6000E-06,+3.4257812500E+00,+5.1328125000E+00,+1.7075700308E+00
+26.7000E-06,+3.4218750000E+00,+5.1328125000E+00,+1.7087419058E+00
+26.8000E-06,+3.4140625000E+00,+5.1250000000E+00,+1.7099137809E+00
+26.9000E-06,+3.4023437500E+00,+5.1132812500E+00,+1.7110856559E+00
+27.0000E-06,+3.4375000000E+00,+5.1328125000E+00,+1.6962419057E+00
+27.1000E-06,+3.4453125000E+00,+5.1289062500E+00,+1.6845231555E+00
+27.2000E-06,+3.4140625000E+00,+5.1093750000E+00,+1.6989762807E+00
+27.3000E-06,+3.4453125000E+00,+5.1328125000E+00,+1.6845231555E+00
+27.4000E-06,+3.4882812500E+00,+5.1445312500E+00,+1.6575700301E+00
+27.5000E-06,+3.4648437500E+00,+5.1328125000E+00,+1.6649919052E+00
+27.6000E-06,+3.4531250000E+00,+5.1210937500E+00,+1.6700700303E+00
+27.7000E-06,+3.4648437500E+00,+5.1250000000E+00,+1.6618669051E+00
+27.8000E-06,+3.4882812500E+00,+5.1367187500E+00,+1.6466325299E+00
+27.9000E-06,+3.5000000000E+00,+5.1406250000E+00,+1.6376481548E+00
+28.0000E-06,+3.5039062500E+00,+5.1367187500E+00,+1.6345231547E+00
+28.1000E-06,+3.4960937500E+00,+5.1289062500E+00,+1.6345231547E+00
+28.2000E-06,+3.5156250000E+00,+5.1406250000E+00,+1.6251481546E+00
+28.3000E-06,+3.5390625000E+00,+5.1484375000E+00,+1.6063981543E+00
+28.4000E-06,+3.5039062500E+00,+5.1250000000E+00,+1.6181169045E+00
+28.5000E-06,+3.5156250000E+00,+5.1328125000E+00,+1.6169450295E+00
+28.6000E-06,+3.5585937500E+00,+5.1484375000E+00,+1.5907731541E+00
+28.7000E-06,+3.5664062500E+00,+5.1484375000E+00,+1.5817887789E+00
+28.8000E-06,+3.5507812500E+00,+5.1367187500E+00,+1.5868669040E+00
+28.9000E-06,+3.5351562500E+00,+5.1289062500E+00,+1.5911637791E+00
+29.0000E-06,+3.5664062500E+00,+5.1445312500E+00,+1.5782731539E+00
+29.1000E-06,+3.5859375000E+00,+5.1484375000E+00,+1.5622575287E+00
+29.2000E-06,+3.5937500000E+00,+5.1523437500E+00,+1.5563981536E+00
+29.3000E-06,+3.5898437500E+00,+5.1445312500E+00,+1.5552262785E+00
+29.4000E-06,+3.5859375000E+00,+5.1406250000E+00,+1.5548356535E+00
